"id","female","age","demcand","educ","ftobama","liberal","candideol","candgen"
355,1,50,3,3,49,3,63,0
357,0,63,3,6,90,3,63,0
359,0,65,1,5,70,4,53,1
360,1,38,3,5,30,2,63,0
361,0,67,3,1,61,4,63,0
367,1,56,1,2,99,5,53,1
369,1,54,1,1,3,2,53,1
370,1,69,1,2,100,3,53,1
375,1,61,1,5,100,3,53,1
377,0,23,3,3,9,1,63,0
381,1,51,1,4,90,2,53,1
382,0,24,1,3,100,5,53,1
384,1,59,1,6,95,5,53,1
385,0,62,1,2,11,3,53,1
386,0,52,1,2,75,3,53,1
388,0,34,3,4,41,3,63,0
390,0,64,1,4,98,3,53,1
391,1,59,3,2,79,3,63,0
392,0,41,1,4,98,3,53,1
395,0,64,2,3,19,2,25,0
396,0,71,2,1,1,2,25,0
398,1,36,3,3,83,4,63,0
399,1,43,2,4,4,2,25,0
401,1,67,1,5,100,2,53,1
403,1,59,1,2,87,4,53,1
405,0,28,1,2,90,4,53,1
406,0,71,3,3,100,4,63,0
408,1,41,3,3,94,3,63,0
409,0,55,3,5,1,2,63,0
411,1,56,3,6,94,4,63,0
415,1,36,3,6,90,4,63,0
416,1,61,1,2,89,4,53,1
418,0,89,2,5,3,1,25,0
420,1,59,2,3,1,1,25,0
421,0,64,3,3,31,3,63,0
422,0,41,1,4,100,3,53,1
426,0,62,3,3,86,4,63,0
427,1,60,3,5,95,3,63,0
429,0,59,3,2,60,3,63,0
430,0,60,3,2,66,2,63,0
431,1,68,2,2,0,2,25,0
432,1,63,1,4,95,2,53,1
433,0,62,2,5,1,3,25,0
434,1,65,3,5,90,5,63,0
436,1,57,3,2,6,2,63,0
438,1,66,3,5,75,3,63,0
442,0,63,1,6,84,5,53,1
445,1,52,2,6,59,3,25,0
446,0,40,3,3,80,5,63,0
448,1,55,1,5,43,3,53,1
450,1,60,1,3,57,3,53,1
451,0,48,2,3,0,2,25,0
452,0,44,2,2,3,1,25,0
453,1,51,3,5,59,4,63,0
454,1,58,3,1,32,4,63,0
455,1,56,1,2,56,3,53,1
456,0,27,3,5,81,4,63,0
459,1,72,1,2,84,3,53,1
461,1,36,1,5,59,3,53,1
462,1,50,1,2,86,4,53,1
463,0,36,1,2,80,3,53,1
