"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
6,0,4,0,0,1,0,0,0,3,1,2,36
1,0,5,0,1,1,0,0,0,3,1,1,36
5,0,2,1,0,1,0,0,0,5,0,9,65
7,0,3,0,0,1,0,0,0,5,0,10,68
5,0,4,1,0,1,0,0,0,5,0,7,72
7,1,1,1,0,0,1,0,0,5,0,7,32
7,1,1,1,0,1,0,0,0,3,1,9,24
4,0,3,0,0,1,0,0,0,2,1,2,51
5,0,5,0,1,1,0,0,0,3,1,5,42
5,0,2,0,0,1,0,0,0,5,0,7,45
4,1,1,0,0,0,0,0,0,2,1,5,49
4,0,3,0,0,1,0,0,0,2,1,2,68
5,0,5,0,1,1,0,0,0,3,1,8,62
7,0,1,1,0,1,0,0,0,5,1,2,50
5,1,4,1,0,1,0,0,0,2,1,8,65
7,0,1,0,0,0,0,1,0,4,1,3,26
4,0,3,0,0,1,0,0,0,4,1,8,58
6,0,2,1,0,1,0,0,0,5,1,3,69
6,0,2,0,0,0,1,0,0,5,0,7,25
6,1,3,0,1,1,0,0,0,4,0,7,50
5,0,5,0,1,1,0,0,0,2,1,6,65
5,1,3,0,0,1,0,0,0,2,1,3,27
4,0,4,0,0,1,0,0,0,2,0,3,62
5,0,2,0,1,1,0,0,0,2,1,3,60
6,0,2,0,0,1,0,0,0,2,0,5,18
4,0,2,0,0,0,1,0,0,2,1,10,55
5,0,4,1,0,0,0,1,0,5,1,1,59
7,0,1,0,0,1,0,0,0,5,0,2,67
4,0,3,0,0,1,0,0,0,3,1,6,32
7,0,3,0,1,1,0,0,0,2,0,4,71
6,0,4,0,0,1,0,0,0,4,0,2,73
1,0,1,0,0,1,0,0,0,3,1,3,30
4,1,3,0,0,0,0,0,0,2,1,8,59
6,0,2,1,0,1,0,0,0,3,1,3,28
3,0,3,0,1,1,0,0,0,2,1,5,55
7,1,2,0,0,1,0,0,0,2,1,5,26
7,1,2,0,0,0,0,0,0,6,0,13,44
6,1,2,1,0,1,0,0,1,3,1,6,19
5,1,4,0,0,1,0,0,0,2,1,4,21
6,0,2,1,0,0,0,1,0,2,1,7,37
4,0,3,1,0,1,0,0,0,3,1,2,65
6,1,2,0,1,1,0,0,0,6,1,13,57
7,1,5,0,1,1,0,0,0,3,1,5,37
